year,"DAC Countries, Total",Germany,Sweden,Italy,United States,Netherlands,France,United Kingdom,Norway,Switzerland,Canada,Austria,Denmark,Belgium,Spain,Australia,Greece,Finland,Ireland,Czech Republic,Iceland,New Zealand,Poland,Hungary,Portugal,Slovenia,Slovakia,South Korea,Japan,Luxembourg
2012,4440.122472753315,82.82888408758645,538.2735853049038,249.3951215467346,982.730159893233,359.1461395846169,510.4807866225556,46.94169530308455,184.90201249059115,661.276665957807,252.77811954569893,62.15913479061564,144.1235369417818,134.5402908049602,22.535279664705193,132.51968276755093,17.899633871044003,24.15840418722385,0.1347883843103003,10.761235255888094,0.2651768254759407,20.51191629979429,,,0.882428482307851,0.2731648264270244,,,0.5711776275297991,0.033451686888285724
2013,4830.778452879653,143.73232213604103,633.9595753405836,390.53629157671764,1134.2007989094388,377.3111083637948,438.0504670472952,52.30729128141054,216.90518179806693,449.9776854836649,202.94214692703875,65.060531337203,156.52003044988436,159.6377360738398,23.461462472415207,312.62414080950504,18.8939245364978,20.836016275194975,0.039866636532805,9.971402871022939,0.3929392368270765,19.8571358038789,,,1.5703596626947975,0.10011217769735345,0.9384863454831405,,0.588742354654862,0.362696972268845
2014,6632.019326379986,174.32115511122018,1019.6499139280563,805.930096478547,1420.2485526181144,945.2663039565051,466.9096606564572,214.70256709271396,239.42769488055436,479.7978935855214,218.80464524192803,110.2727487537774,245.23949701680624,189.24394459664603,17.678370828873295,,19.217084773655642,15.82006323047088,0.3284240996529483,13.334480291055108,2.9648147987742406,19.515246975936726,,10.807669720437248,0.920240357578996,0.07977909010392044,0.9703219865513766,,0.5681563100476429,
2015,13943.69132939516,3605.912652208509,2682.988844512614,1117.7801014310708,1357.0506146509535,1589.8186179474058,413.57851510663966,405.0143071726666,523.7725692127957,525.7618443490095,251.36887103086886,517.2418424861618,452.78260040996236,272.89930997664896,36.84594510659375,,64.35204185682895,45.2105821250398,0.6854822174469664,19.109641834118232,5.848923761472116,19.467814910953326,10.471361991568736,11.735518273462793,3.2953519974799588,8.408204040564813,2.0442687334113905,,0.24550205091297414,
2016,18492.310492514807,7787.2976515687715,919.0575235093357,1878.0811952411702,1902.0787492858444,519.387595036946,529.9511808158968,661.4921478071436,956.9519027262272,752.1987020327151,474.18363244847717,691.8289159419337,468.6154068630437,442.7447300283883,101.03153482292873,,160.17210181522483,151.10373800285473,1.1857861213974363,23.966992354715746,17.415314674756843,19.28710137739559,6.794346783741961,11.839248468619736,5.0076975134202835,8.502152436147925,1.8953334781210167,,0.23981135958832064,
2017,15914.975127713955,6923.593738485763,906.7452917691138,1981.475734797801,1597.3062457103758,968.9460357460645,690.1924544545031,583.3866203588586,169.83248022388696,360.0917247681925,541.535458882238,172.80787383383716,129.2665379990754,358.50367286479735,239.67376171493623,,72.7233508834033,87.44383148309956,43.947507671512575,27.314235357401554,21.546579860137612,18.974907695411687,6.568520002967999,3.7790487500683114,6.426301243856986,1.067249490856709,1.5269664046610454,,0.29899726113353675,
2018,11533.602875959221,4144.310183213853,570.6634280171351,1167.4890157668265,1736.7427325774318,620.9208476769888,840.3923999115515,553.5674141772646,106.28265499568656,303.12861848626477,575.7360697401608,65.34768028588705,70.4934984624032,260.9269343434091,287.2073176430275,,28.545915440414095,60.23391060881594,57.67283275224313,28.457744332140297,10.752120114084217,18.746701285648772,6.525859501377348,3.87912023678575,10.002372470484929,2.6017866181979663,0.8490301727160586,1.8019070971163431,0.3247800313057502,
2019,10566.755872141923,3356.87102187164,303.0570853186194,482.4031984124799,1978.4689892814338,546.385461049927,1320.1029481029639,700.7437490311619,67.61322302059223,310.4810658105146,545.341003715536,33.73372250464228,59.40287804413063,152.4470982473836,325.24977942070456,,144.54630438658197,98.4289091518088,86.553174115085,7.067637861130124,8.244719579412422,18.327875055946006,6.2714934461172325,1.167286934215887,8.343416228722415,2.453943291320546,0.9617875292174746,1.4829631201796467,0.3285884726404244,0.27654913781542817
2020,9331.117840581637,2813.1213456002292,165.23939342112803,241.07892416442567,1566.6160177853953,596.8195730549231,1279.6078030209057,870.5022590463369,59.70266334375196,335.75021149195925,724.9510133988365,32.53515750068378,60.539281769684116,143.9802707779236,205.12131062125462,,85.60664219774544,63.3667725383413,38.905002665709326,6.180061902236736,6.338390241921455,9.240664962769385,7.062746616314706,2.8335315988087615,10.206679716002643,2.8597448756747177,1.028998099981529,1.4403253394260709,0.309342199183876,0.1737126300840245
2021,9285.34,2689.59,87.91,556.1,1506.49,410.39,1151.39,1234.74,52.25,368.35,463.6,63.12,51.59,250.71,223.23,,1.09,68.77,50.29,6.3,8.76,8.91,16.88,1.38,9.31,2.33,1.06,0.53,0.27,
