year,Donor,In-Donor Refugee Costs,Total ODA,GNI,IDRC as a share of GNI,ODA as a share of GNI
2012,Australia,153.73,5402.7,1496885.09,0.01,0.36
2012,Denmark,143.37,2692.59,324409.58,0.044,0.83
2012,Netherlands,339.12,5522.84,778192.31,0.044,0.71
2012,Norway,226.81,4752.99,511407.42,0.044,0.93
2012,Sweden,570.71,5239.79,538021.84,0.106,0.97
2012,Switzerland,654.38,3052.13,652777.35,0.1,0.47
2016,Australia,,3277.52,1232953.99,0.0,0.27
2016,Denmark,411.55,2369.19,315039.67,0.131,0.75
2016,Netherlands,433.85,4966.26,765520.29,0.057,0.65
2016,Norway,799.93,4380.08,390518.68,0.205,1.12
2016,Sweden,821.49,4893.74,520233.51,0.158,0.94
2016,Switzerland,691.47,3582.47,673089.75,0.103,0.53
2021,Australia,,3546.44,1601497.56,0.0,0.22
2021,Denmark,63.2,2921.0,410959.75,0.015,0.71
2021,Netherlands,407.65,5287.54,1009730.37,0.04,0.52
2021,Norway,52.25,4672.97,504529.48,0.01,0.93
2021,Sweden,87.91,5934.17,654435.29,0.013,0.91
2021,Switzerland,368.35,3912.02,782487.74,0.047,0.5
2022,Australia,,3045.98,1625445.28,0.0,0.19
2022,Denmark,356.72,2770.91,413440.0,0.086,0.67
2022,Netherlands,945.58,6469.96,968449.89,0.098,0.67
2022,Norway,516.38,5160.98,597711.2,0.086,0.86
2022,Sweden,384.36,5457.97,612416.87,0.063,0.89
2022,Switzerland,1264.32,4497.19,802006.33,0.158,0.56
2023,Australia,,,,,
2023,Denmark,384.78483289999997,,,,
2023,Netherlands,2627.442307833333,,,,
2023,Norway,1183.0055230833334,,,,
2023,Sweden,249.28136389999997,,,,
2023,Switzerland,1171.8392319333334,,,,
2024,Australia,,,,,
2024,Denmark,413.8128646999999,,,,
2024,Netherlands,2709.011344333333,,,,
2024,Norway,1070.12303215,,,,
2024,Sweden,274.12723716666665,,,,
2024,Switzerland,1150.7028463333331,,,,
