iso_code,total_refugees,cost22,cost23,cost24
AUT,94984.0,129797392.83333331,96399202.89999999,1499049.0666666662
BEL,69996.0,396528274.1166667,332493850.5833333,7608779.699999997
CAN,177958.0,698537428.8,1380044790.3999999,33850423.999999985
CHE,82952.0,1027898810.8749999,925805731.625,21838813.499999993
CZE,503698.0,1450143541.0,1064426715.0,21045475.999999993
DEU,1056628.0,8706475641.508333,7220832882.008333,88319060.8833333
DNK,41558.0,467799205.29999995,364831557.9,6990445.599999997
ESP,170973.0,305259586.75,236507617.35,5312201.299999998
FIN,47111.0,426114124.325,402723831.97499996,0.0
FRA,118994.0,467716196.575,327532604.825,0.0
GBR,191000.0,1454658669.1666667,1767438572.5000002,103002658.3333333
GRC,20955.0,12354824.991666665,10211614.508333335,0.0
HUN,34248.0,142191881.0,104986932.6,968495.1999999997
IRL,78121.0,437023707.1666666,550935281.1666666,14958409.666666662
ISL,2345.0,6052119.449999999,7398097.05,0.0
ITA,177045.0,1465441727.583333,1188099007.2,4772235.716666665
JPN,1800.0,23772.499999999996,22487.5,0.0
LUX,6756.0,556804.9666666667,327555.43333333335,0.0
NLD,89730.0,1196589472.0,937811472.0,8997511.999999996
NOR,41519.0,388583552.25000006,505548052.8000001,8321227.049999998
NZL,4000.0,76276333.33333334,15255266.666666662,0.0
POL,1577289.0,1623782777.6499999,1165334842.0,4103470.4499999983
PRT,58242.0,219824366.29999998,155780046.39999998,720446.0999999996
SVK,112715.0,231189205.12499997,187495788.725,4368215.6499999985
SVN,9119.0,3394028.733333333,2600283.4,4166.066666666665
SWE,52325.0,268969632.75,192939331.0,1324261.2499999995
USA,85000.0,485675433.3333333,345514066.6666667,0.0
