year,Donor,In-Donor Refugee Costs,Total ODA,GNI,IDRC as a share of GNI,ODA as a share of GNI
2012,Canada,266.53,5650.26,1788787.03,0.015,0.32
2012,France,506.94,12028.27,2657069.41,0.019,0.45
2012,Germany,75.94,12939.49,3480604.11,0.002,0.37
2012,Italy,246.69,2737.13,1998100.26,0.012,0.14
2012,United Kingdom,44.96,13891.44,2472134.71,0.002,0.56
2012,United States,831.53,30652.38,16514500.0,0.005,0.19
2016,Canada,390.43,3930.44,1508494.794024,0.026,0.26
2016,France,466.57,9621.67,2503949.61,0.019,0.38
2016,Germany,6585.08,24735.69,3537225.48,0.186,0.7
2016,Italy,1665.24,5087.39,1852102.627,0.09,0.27
2016,United Kingdom,574.03,18052.8,2578553.0,0.022,0.7
2016,United States,1701.81,34420.98,18496000.0,0.009,0.19
2021,Canada,463.6,6302.74,1974773.83,0.023,0.32
2021,France,1156.48,15505.62,3042429.58,0.038,0.51
2021,Germany,2732.06,33272.39,4349361.4,0.063,0.76
2021,Italy,556.1,6085.13,2124828.52,0.026,0.29
2021,United Kingdom,1447.37,15712.01,3117975.24,0.046,0.5
2021,United States,4745.18,47804.8,23785852.0,0.02,0.2
2022,Canada,944.38,,,,
2022,France,1487.37,,,,
2022,Germany,4494.98,,,,
2022,Italy,1479.83,,,,
2022,United Kingdom,4543.59,,,,
2022,United States,6646.37,,,,
2023,Canada,1849.5391386000001,,,,
2023,France,1485.806337275,,,,
2023,Germany,9964.183398083333,,,,
2023,Italy,1753.0277444000003,,,,
2023,United Kingdom,3275.5229916666667,,,,
2023,United States,5091.697533333334,,,,
